date,open,high,low,close,volume
2026-08-20 10:15:00+05:30,24214.45,24226.4,24213.9,24223.95,2516462.0
2026-08-20 10:20:00+05:30,24224.25,24226.85,24213.4,24214.4,2820905.0
2026-08-20 10:25:00+05:30,24213.95,24223.4,24212.55,24215.65,2227098.0
2026-08-20 10:30:00+05:30,24215.45,24218.55,24207.25,24211.65,2947252.0
2026-08-20 10:35:00+05:30,24211.4,24215.35,24207.75,24210.1,3412093.0
2026-08-20 10:40:00+05:30,24211.45,24211.45,24201.25,24204.45,3927719.0
2026-08-20 10:45:00+05:30,24204.7,24214.7,24204.65,24210.25,3060823.0
2026-08-20 10:50:00+05:30,24210.65,24218.1,24203.95,24210.75,3238326.0
2026-08-20 10:55:00+05:30,24210.9,24212.65,24203.9,24207.9,2215118.0
2026-08-20 11:00:00+05:30,24207.6,24223.55,24207.6,24219.65,3323062.0
2026-08-20 11:05:00+05:30,24219.25,24223.05,24210.05,24215.05,2515134.0
2026-08-20 11:10:00+05:30,24215.0,24217.2,24209.95,24213.1,2462216.0
2026-08-20 11:15:00+05:30,24212.8,24213.5,24200.1,24205.65,2520116.0
2026-08-20 11:20:00+05:30,24204.65,24207.7,24196.2,24196.85,2999095.0
2026-08-20 11:25:00+05:30,24196.45,24200.6,24194.2,24197.1,3954428.0
2026-08-20 11:30:00+05:30,24197.25,24206.65,24194.8,24205.45,3196940.0
2026-08-20 11:35:00+05:30,24204.85,24217.4,24202.7,24213.9,3661178.0
2026-08-20 11:40:00+05:30,24214.0,24216.95,24210.05,24211.15,2585395.0
2026-08-20 11:45:00+05:30,24210.85,24215.7,24209.0,24213.8,3111663.0
2026-08-20 11:50:00+05:30,24213.55,24218.85,24211.65,24212.25,2732420.0
2026-08-20 11:55:00+05:30,24212.0,24217.45,24210.05,24212.55,2539681.0
2026-08-20 12:00:00+05:30,24212.25,24220.5,24209.95,24218.1,2710278.0
2026-08-20 12:05:00+05:30,24217.8,24219.65,24210.4,24213.35,3133890.0
2026-08-20 12:10:00+05:30,24212.9,24216.8,24210.15,24214.7,2398445.0
2026-08-20 12:15:00+05:30,24214.05,24219.8,24212.45,24217.5,2078526.0
2026-08-20 12:20:00+05:30,24217.1,24223.0,24213.05,24214.1,2186112.0
2026-08-20 12:25:00+05:30,24214.05,24217.45,24209.95,24211.7,2784012.0
2026-08-20 12:30:00+05:30,24211.85,24215.85,24208.15,24210.85,2109946.0
2026-08-20 12:35:00+05:30,24210.55,24214.7,24207.85,24209.9,2413076.0
2026-08-20 12:40:00+05:30,24210.1,24221.8,24207.4,24219.45,3444814.0
2026-08-20 12:45:00+05:30,24219.35,24221.85,24214.4,24220.2,2587014.0
2026-08-20 12:50:00+05:30,24220.2,24252.8,24219.1,24249.8,4978285.0
2026-08-20 12:55:00+05:30,24249.2,24265.15,24235.55,24241.7,4990372.0
2026-08-20 13:00:00+05:30,24240.9,24248.4,24239.3,24242.8,2622193.0
2026-08-20 13:05:00+05:30,24241.75,24250.6,24239.05,24247.9,2850985.0
2026-08-20 13:10:00+05:30,24247.85,24251.7,24243.8,24247.85,3136339.0
2026-08-20 13:15:00+05:30,24247.85,24250.7,24241.0,24249.65,2800395.0
2026-08-20 13:20:00+05:30,24249.0,24250.6,24237.15,24243.7,2200438.0
2026-08-20 13:25:00+05:30,24243.6,24251.75,24240.15,24250.75,1816365.0
2026-08-20 13:30:00+05:30,24250.6,24251.75,24242.05,24249.35,2770791.0
2026-08-20 13:35:00+05:30,24248.25,24250.5,24245.55,24250.15,2603205.0
2026-08-20 13:40:00+05:30,24250.0,24252.15,24239.75,24241.35,2170662.0
2026-08-20 13:45:00+05:30,24240.95,24249.25,24238.4,24244.45,1970471.0
2026-08-20 13:50:00+05:30,24243.15,24249.85,24241.9,24243.3,1879823.0
2026-08-20 13:55:00+05:30,24243.2,24244.4,24232.6,24234.85,2125171.0
2026-08-20 14:00:00+05:30,24235.2,24242.9,24231.2,24233.2,2178077.0
2026-08-20 14:05:00+05:30,24232.7,24235.9,24227.25,24228.85,2522287.0
2026-08-20 14:10:00+05:30,24228.55,24241.0,24228.25,24235.2,2396236.0
2026-08-20 14:15:00+05:30,24235.2,24241.65,24234.25,24237.45,1862598.0
2026-08-20 14:20:00+05:30,24237.6,24239.85,24223.3,24237.0,2738865.0
